ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T03:20:00+00:00,RANGE,20.7,NO_TRADE,RANGE_STRUCTURE,88.16,88.22,88.16,88.19,0,0,0,0,101.42
2026-05-08T03:25:00+00:00,RANGE,18.0,NO_TRADE,ADX_TOO_LOW(18.0),88.19,88.22,88.11,88.21,0,0,0,0,101.42
2026-05-08T03:30:00+00:00,RANGE,14.3,NO_TRADE,ADX_TOO_LOW(14.3),88.21,88.37,88.2,88.34,0,0,0,0,101.42
2026-05-08T03:35:00+00:00,RANGE,11.1,NO_TRADE,ADX_TOO_LOW(11.1),88.34,88.34,88.28,88.33,0,0,0,0,101.42
2026-05-08T03:40:00+00:00,RANGE,8.3,NO_TRADE,ADX_TOO_LOW(8.3),88.33,88.35,88.25,88.3,0,0,0,0,101.42
2026-05-08T03:45:00+00:00,RANGE,8.7,NO_TRADE,ADX_TOO_LOW(8.7),88.3,88.32,88.19,88.2,0,0,0,0,101.42
2026-05-08T03:50:00+00:00,RANGE,8.6,NO_TRADE,ADX_TOO_LOW(8.6),88.2,88.3,88.2,88.29,0,0,0,0,101.42
2026-05-08T03:55:00+00:00,RANGE,8.6,NO_TRADE,ADX_TOO_LOW(8.6),88.29,88.29,88.2,88.22,0,0,0,0,101.42
2026-05-08T04:00:00+00:00,RANGE,8.3,NO_TRADE,ADX_TOO_LOW(8.3),88.23,88.33,88.21,88.27,0,0,0,0,101.42
2026-05-08T04:05:00+00:00,RANGE,8.1,NO_TRADE,ADX_TOO_LOW(8.1),88.28,88.29,88.25,88.28,0,0,0,0,101.42
2026-05-08T04:10:00+00:00,RANGE,8.3,NO_TRADE,ADX_TOO_LOW(8.3),88.27,88.33,88.26,88.33,0,0,0,0,101.42
2026-05-08T04:15:00+00:00,RANGE,7.4,NO_TRADE,ADX_TOO_LOW(7.4),88.33,88.36,88.24,88.36,0,0,0,0,101.42
2026-05-08T04:20:00+00:00,RANGE,6.4,NO_TRADE,ADX_TOO_LOW(6.4),88.36,88.37,88.31,88.34,0,0,0,0,101.42
2026-05-08T04:25:00+00:00,RANGE,6.2,NO_TRADE,ADX_TOO_LOW(6.2),88.34,88.34,88.27,88.32,0,0,0,0,101.42
2026-05-08T04:30:00+00:00,RANGE,6.6,NO_TRADE,ADX_TOO_LOW(6.6),88.33,88.33,88.16,88.17,0,0,0,0,101.42
2026-05-08T04:35:00+00:00,RANGE,6.7,NO_TRADE,ADX_TOO_LOW(6.7),88.17,88.23,88.12,88.15,0,0,0,0,101.42
2026-05-08T04:40:00+00:00,RANGE,7.4,NO_TRADE,ADX_TOO_LOW(7.4),88.15,88.16,88.01,88.12,0,0,0,0,101.42
2026-05-08T04:45:00+00:00,RANGE,8.2,NO_TRADE,ADX_TOO_LOW(8.2),88.12,88.18,88.1,88.12,0,0,0,0,101.42
2026-05-08T04:50:00+00:00,RANGE,8.7,NO_TRADE,ADX_TOO_LOW(8.7),88.13,88.24,88.09,88.2,0,0,0,0,101.42
2026-05-08T04:55:00+00:00,RANGE,8.9,NO_TRADE,ADX_TOO_LOW(8.9),88.2,88.2,88.15,88.18,0,0,0,0,101.42
2026-05-08T05:00:00+00:00,RANGE,9.5,NO_TRADE,ADX_TOO_LOW(9.5),88.17,88.2,88.07,88.15,0,0,0,0,101.42
2026-05-08T05:05:00+00:00,RANGE,10.6,NO_TRADE,ADX_TOO_LOW(10.6),88.15,88.21,88.12,88.19,0,0,0,0,101.42
2026-05-08T05:10:00+00:00,RANGE,11.7,NO_TRADE,ADX_TOO_LOW(11.7),88.18,88.3,88.13,88.22,0,0,0,0,101.42
2026-05-08T05:15:00+00:00,RANGE,11.5,NO_TRADE,ADX_TOO_LOW(11.5),88.21,88.36,88.19,88.21,0,0,0,0,101.42
2026-05-08T05:20:00+00:00,RANGE,11.4,NO_TRADE,ADX_TOO_LOW(11.4),88.22,88.24,88.16,88.24,0,0,0,0,101.42
2026-05-08T05:25:00+00:00,RANGE,10.7,NO_TRADE,ADX_TOO_LOW(10.7),88.24,88.3,88.22,88.28,0,0,0,0,101.42
2026-05-08T05:30:00+00:00,RANGE,10.4,NO_TRADE,ADX_TOO_LOW(10.4),88.28,88.41,88.27,88.35,0,0,0,0,101.42
2026-05-08T05:35:00+00:00,RANGE,10.8,NO_TRADE,ADX_TOO_LOW(10.8),88.35,88.36,88.29,88.34,0,0,0,0,101.42
