ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T11:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.64,88.7,88.62,88.68,0,0,0,0,100.0
2026-05-08T11:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.67,88.68,88.63,88.64,0,0,0,0,100.0
2026-05-08T12:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.64,88.72,88.59,88.6,0,0,0,0,100.0
2026-05-08T12:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.59,88.67,88.58,88.58,0,0,0,0,100.0
2026-05-08T12:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.58,88.62,88.51,88.62,0,0,0,0,100.0
2026-05-08T12:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.61,88.65,88.59,88.62,0,0,0,0,100.0
2026-05-08T12:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.61,88.62,88.52,88.57,0,0,0,0,100.0
2026-05-08T12:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.57,88.76,88.52,88.71,0,0,0,0,100.0
2026-05-08T12:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.72,88.87,88.48,88.66,0,0,0,0,100.0
2026-05-08T12:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.66,88.69,88.59,88.61,0,0,0,0,100.0
2026-05-08T12:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.62,88.75,88.61,88.73,0,0,0,0,100.0
2026-05-08T12:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.73,88.74,88.57,88.57,0,0,0,0,100.0
2026-05-08T12:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.57,88.59,88.41,88.55,0,0,0,0,100.0
2026-05-08T12:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,88.55,88.62,88.37,88.46,0,0,0,0,100.0
2026-05-08T13:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.47,88.56,88.42,88.51,0,0,0,0,100.0
2026-05-08T13:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.5,88.55,88.29,88.41,0,0,0,0,100.0
2026-05-08T13:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,88.4,88.48,88.17,88.28,0,0,0,0,100.0
2026-05-08T13:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.29,88.44,88.29,88.39,0,0,0,0,100.0
2026-05-08T13:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.38,88.5,88.38,88.5,0,0,0,0,100.0
2026-05-08T13:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.5,88.5,88.28,88.29,0,0,0,0,100.0
2026-05-08T13:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.3,88.51,88.27,88.5,0,0,0,0,100.0
2026-05-08T13:35:00+00:00,CRYPTO,BEARISH,PLACE_SELL_STOP,TRADE_PLACED_SELL_STOP_RR1.0,88.5,88.53,88.13,88.14,88.315,88.17001,88.17,1.0,100.0
2026-05-08T13:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.14,88.16,88.01,88.11,0,0,0,0,103.0
2026-05-08T13:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.11,88.39,88.11,88.29,0,0,0,0,103.0
2026-05-08T13:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.3,88.42,88.27,88.28,0,0,0,0,103.0
2026-05-08T13:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.28,88.35,88.26,88.34,0,0,0,0,103.0
2026-05-08T14:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.34,88.62,88.34,88.62,0,0,0,0,103.0
2026-05-08T14:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.61,88.82,88.58,88.76,0,0,0,0,103.0
2026-05-08T14:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.76,88.86,88.68,88.82,0,0,0,0,103.0
2026-05-08T14:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.83,89.36,88.79,89.3,0,0,0,0,103.0
2026-05-08T14:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.3,89.37,89.15,89.36,0,0,0,0,103.0
2026-05-08T14:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.37,89.38,89.05,89.05,0,0,0,0,103.0
2026-05-08T14:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.05,89.11,88.64,89.09,0,0,0,0,103.0
2026-05-08T14:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.09,89.23,88.86,89.21,0,0,0,0,103.0
2026-05-08T14:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.2,89.24,89.11,89.22,0,0,0,0,103.0
2026-05-08T14:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.22,89.23,89.07,89.13,0,0,0,0,103.0
2026-05-08T14:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.13,89.24,89.03,89.24,0,0,0,0,103.0
2026-05-08T14:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.24,89.24,89.04,89.15,0,0,0,0,103.0
2026-05-08T15:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.16,89.29,88.95,88.97,0,0,0,0,103.0
2026-05-08T15:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.96,89.07,88.85,88.95,0,0,0,0,103.0
2026-05-08T15:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.95,89.08,88.84,88.9,0,0,0,0,103.0
2026-05-08T15:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.9,88.93,88.66,88.7,0,0,0,0,103.0
2026-05-08T15:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.7,88.84,88.44,88.48,0,0,0,0,103.0
2026-05-08T15:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.48,88.59,88.43,88.59,0,0,0,0,103.0
2026-05-08T15:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.6,88.82,88.46,88.82,0,0,0,0,103.0
2026-05-08T15:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.82,89.07,88.76,89.06,0,0,0,0,103.0
2026-05-08T15:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.06,89.3,89.02,89.18,0,0,0,0,103.0
2026-05-08T15:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.18,89.37,89.14,89.25,0,0,0,0,103.0
2026-05-08T15:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.25,89.51,89.25,89.5,0,0,0,0,103.0
