timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T18:30:00Z,LINKUSDT,5m,10.42000000,10.46000000,10.41000000,10.43000000,43324.18000000,0.3562,0.8537,NEUTRAL,0.0
2026-05-08T18:35:00Z,LINKUSDT,5m,10.42000000,10.43000000,10.38000000,10.41000000,29769.27000000,0.4039,0.7949,NEUTRAL,0.0
2026-05-08T18:40:00Z,LINKUSDT,5m,10.40000000,10.41000000,10.36000000,10.39000000,27268.69000000,0.3556,0.7436,NEUTRAL,0.0
2026-05-08T18:45:00Z,LINKUSDT,5m,10.39000000,10.42000000,10.38000000,10.41000000,36617.15000000,0.5480,0.7949,NEUTRAL,0.0
2026-05-08T18:50:00Z,LINKUSDT,5m,10.40000000,10.42000000,10.39000000,10.40000000,13176.14000000,0.5000,0.7632,NEUTRAL,0.0
2026-05-08T18:55:00Z,LINKUSDT,5m,10.39000000,10.40000000,10.38000000,10.39000000,21491.16000000,0.4278,0.7059,NEUTRAL,0.0
2026-05-08T19:00:00Z,LINKUSDT,5m,10.38000000,10.39000000,10.34000000,10.35000000,28994.69000000,0.2826,0.5882,NEUTRAL,0.0
2026-05-08T19:05:00Z,LINKUSDT,5m,10.35000000,10.39000000,10.34000000,10.38000000,34989.64000000,0.5482,0.6452,NEUTRAL,0.0
2026-05-08T19:10:00Z,LINKUSDT,5m,10.39000000,10.40000000,10.38000000,10.40000000,20063.38000000,0.6683,0.6250,NEUTRAL,0.0
2026-05-08T19:15:00Z,LINKUSDT,5m,10.39000000,10.43000000,10.38000000,10.41000000,16095.24000000,0.5961,0.6522,NEUTRAL,0.0
2026-05-08T19:20:00Z,LINKUSDT,5m,10.40000000,10.40000000,10.37000000,10.38000000,21049.44000000,0.3796,0.5217,NEUTRAL,0.0
2026-05-08T19:25:00Z,LINKUSDT,5m,10.37000000,10.38000000,10.36000000,10.37000000,17154.66000000,0.3795,0.4000,NEUTRAL,0.0
2026-05-08T19:30:00Z,LINKUSDT,5m,10.36000000,10.38000000,10.36000000,10.37000000,12580.79000000,0.4759,0.4000,NEUTRAL,0.0
2026-05-08T19:35:00Z,LINKUSDT,5m,10.37000000,10.38000000,10.35000000,10.36000000,6937.44000000,0.4517,0.3500,NEUTRAL,0.0
2026-05-08T19:40:00Z,LINKUSDT,5m,10.36000000,10.37000000,10.34000000,10.36000000,13604.56000000,0.4759,0.0714,NEUTRAL,0.0
2026-05-08T19:45:00Z,LINKUSDT,5m,10.36000000,10.36000000,10.33000000,10.35000000,17819.08000000,0.4517,0.0000,NEUTRAL,0.0
2026-05-08T19:50:00Z,LINKUSDT,5m,10.36000000,10.37000000,10.35000000,10.36000000,20363.33000000,0.5241,0.0714,NEUTRAL,0.0
2026-05-08T19:55:00Z,LINKUSDT,5m,10.36000000,10.37000000,10.35000000,10.37000000,41870.33000000,0.5723,0.1429,NEUTRAL,0.0
2026-05-08T20:00:00Z,LINKUSDT,5m,10.37000000,10.38000000,10.35000000,10.36000000,34954.27000000,0.4759,0.0714,NEUTRAL,0.0
2026-05-08T20:05:00Z,LINKUSDT,5m,10.36000000,10.36000000,10.33000000,10.34000000,19478.89000000,0.3791,0.0000,NEUTRAL,0.0
2026-05-08T20:10:00Z,LINKUSDT,5m,10.34000000,10.36000000,10.34000000,10.35000000,12429.54000000,0.5000,0.1111,NEUTRAL,0.0
2026-05-08T20:15:00Z,LINKUSDT,5m,10.35000000,10.35000000,10.32000000,10.33000000,7013.18000000,0.4274,0.0000,NEUTRAL,0.0
2026-05-08T20:20:00Z,LINKUSDT,5m,10.32000000,10.34000000,10.31000000,10.34000000,38443.79000000,0.5000,0.1250,NEUTRAL,0.0
2026-05-08T20:25:00Z,LINKUSDT,5m,10.34000000,10.34000000,10.32000000,10.33000000,1784.22000000,0.4758,0.0000,NEUTRAL,0.0
2026-05-08T20:30:00Z,LINKUSDT,5m,10.32000000,10.33000000,10.30000000,10.33000000,11094.36000000,0.4758,0.0000,NEUTRAL,0.0
