ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T23:15:00+00:00,BULLISH,13.4,NO_TRADE,ADX_TOO_LOW(13.4),92.04,92.1,91.94,92.1,0,0,0,0,5.28
2026-05-08T23:20:00+00:00,BULLISH,14.2,NO_TRADE,ADX_TOO_LOW(14.2),92.09,92.11,91.96,91.97,0,0,0,0,5.28
2026-05-08T23:25:00+00:00,BULLISH,14.7,NO_TRADE,ADX_TOO_LOW(14.7),91.97,92.01,91.92,91.95,0,0,0,0,5.28
2026-05-08T23:30:00+00:00,BEARISH,15.1,NO_TRADE,NO_BREAKOUT,91.95,91.97,91.84,91.92,0,0,0,0,5.28
2026-05-08T23:35:00+00:00,BEARISH,16.3,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,91.92,91.92,91.73,91.76,91.84,92.057862,91.622138,1.0,5.28
2026-05-08T23:40:00+00:00,BEARISH,18.6,NO_TRADE,NO_BREAKOUT,91.75,91.88,91.75,91.82,0,0,0,0,5.18
2026-05-08T23:45:00+00:00,BEARISH,21.1,NO_TRADE,NO_BREAKOUT,91.81,91.92,91.78,91.87,0,0,0,0,5.18
2026-05-08T23:50:00+00:00,BEARISH,23.4,NO_TRADE,NO_BREAKOUT,91.88,91.98,91.85,91.88,0,0,0,0,5.18
2026-05-08T23:55:00+00:00,BEARISH,25.0,NO_TRADE,NO_BREAKOUT,91.89,92.06,91.89,92.01,0,0,0,0,5.24
2026-05-09T00:00:00+00:00,BEARISH,25.4,NO_TRADE,NO_BREAKOUT,92.02,92.04,91.87,91.88,0,0,0,0,5.24
2026-05-09T00:05:00+00:00,BEARISH,26.6,NO_TRADE,NO_BREAKOUT,91.88,91.96,91.85,91.92,0,0,0,0,5.24
2026-05-09T00:10:00+00:00,RANGE,28.0,NO_TRADE,RANGE_STRUCTURE,91.92,92.1,91.92,92.08,0,0,0,0,5.24
2026-05-09T00:15:00+00:00,RANGE,27.9,NO_TRADE,RANGE_STRUCTURE,92.09,92.23,92.08,92.15,0,0,0,0,5.24
2026-05-09T00:20:00+00:00,RANGE,27.3,NO_TRADE,RANGE_STRUCTURE,92.16,92.41,92.15,92.28,0,0,0,0,5.24
2026-05-09T00:25:00+00:00,BULLISH,27.7,NO_TRADE,NO_BREAKOUT,92.29,92.38,92.28,92.37,0,0,0,0,5.24
2026-05-09T00:30:00+00:00,BULLISH,27.5,NO_TRADE,INVALID_PLAN(rr=1.0),92.38,92.55,92.38,92.5,0,0,0,0,5.24
2026-05-09T00:35:00+00:00,BULLISH,28.2,NO_TRADE,NO_BREAKOUT,92.51,92.54,92.43,92.46,0,0,0,0,5.24
