ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-07T17:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.44,88.56,88.33,88.47,0,0,0,0,102.0
2026-05-07T17:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.48,88.62,88.42,88.47,0,0,0,0,102.0
2026-05-07T17:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.47,88.6,88.41,88.58,0,0,0,0,102.0
2026-05-07T17:15:00+00:00,CRYPTO,BEARISH,PLACE_SELL_STOP,TRADE_PLACED_SELL_STOP_RR1.0,88.58,88.59,88.24,88.27,88.41,88.30002,88.3,1.0,102.0
2026-05-07T17:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.27,88.47,88.22,88.45,0,0,0,0,104.0
2026-05-07T17:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.45,88.61,87.96,88.17,0,0,0,0,104.0
2026-05-07T17:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.17,88.42,88.13,88.4,0,0,0,0,104.0
2026-05-07T17:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.4,88.54,88.38,88.48,0,0,0,0,104.0
2026-05-07T17:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.49,88.56,88.47,88.49,0,0,0,0,104.0
2026-05-07T17:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.49,88.55,88.37,88.43,0,0,0,0,104.0
2026-05-07T17:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.43,88.52,88.39,88.52,0,0,0,0,104.0
2026-05-07T17:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.52,88.86,88.46,88.8,0,0,0,0,104.0
2026-05-07T18:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.8,88.97,88.77,88.92,0,0,0,0,104.0
2026-05-07T18:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.93,88.95,88.82,88.84,0,0,0,0,104.0
2026-05-07T18:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.84,88.84,88.69,88.82,0,0,0,0,104.0
2026-05-07T18:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.81,88.89,88.77,88.8,0,0,0,0,104.0
2026-05-07T18:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.8,88.92,88.78,88.88,0,0,0,0,104.0
2026-05-07T18:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.89,88.95,88.85,88.86,0,0,0,0,104.0
2026-05-07T18:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.86,89.05,88.85,88.96,0,0,0,0,104.0
2026-05-07T18:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.96,89.01,88.85,88.96,0,0,0,0,104.0
